genre_ids,id,original_language,overview,release_date,title
['Science Fiction'],672021,en,"['In', 'the', 'near', 'future,', 'a', 'teenage', 'girl', 'attends', 'a', 'virtual', 'reality', 'high', 'school.']",2020-02-15,Hekademia
"['Action', 'Drama', 'Romance']",115153,hi,"['Tony', 'works', 'as', 'a', 'hit-man', 'for', 'gangster,', 'Vikas', 'Patil,', 'who', 'owes', 'his', 'allegiance', 'to', 'wealthy', 'Raj', 'Mallya.', 'Raj', 'Mallya', 'is', 'involved', 'in', 'marketing', 'spurious', 'and', 'out-dated', 'drugs,', 'and', 'as', 'a', 'result', 'is', 'the', 'subject', 'of', 'an', 'investigation', 'by', 'the', 'Food', '&', 'Drugs', ""Administration's"", 'inspector', 'Dr.', 'Hargobind', 'Gosai.', 'Raj', 'asks', 'Vikas', 'to', 'take', 'care', 'of', 'Hargobind', 'through', 'Tony,', 'which', 'Tony', 'does,', 'and', 'in', 'this', 'manner,', 'Raj', 'is', 'absolved', 'of', 'all', 'wrong-doing.', 'Then', 'Tony', 'meets', 'with', 'attractive', 'starlet', 'named', 'Sapna,', 'and', 'falls', 'head', 'over', 'heels', 'in', 'love', 'with', 'her.', 'When', 'Sapna', 'tells', 'him', 'that', 'she', 'is', 'engaged', 'to', 'be', 'married', 'to', 'Dr.', 'Ajay', 'Saxena,', 'he', 'is', 'heart-broken.', 'Then', 'a', 'scandal', 'breaks', 'out,', 'and', 'Hargobind', 'is', 'implicated', 'in', 'the', 'deaths', 'of', 'three', 'children', 'that', 'were', 'killed', 'by', ""Raj's"", 'spurious', 'drugs.', 'All', 'the', 'evidence', 'points', 'against', 'Hargobind,', 'and', 'not', 'a', 'single', 'lawyer', 'is', 'willing', 'to', 'take', 'his', 'case;', 'his', 'wife', 'kills', 'herself,', 'and', 'the', 'marriage', 'of', 'his', 'daughter', 'has', 'been', 'canceled.']",2004-02-20,Kismat
"['Drama', 'Comedy']",460546,en,"['Christmas', 'Eve.', 'An', 'enormous', 'explosion', 'tears', 'through', 'Lapland.', 'Santa', 'and', 'his', 'elf,', 'Anthony,', 'have', 'crash-landed', 'in', 'the', 'middle', 'of', 'nowhere', 'on', 'their', 'busiest', 'night.']",2014-10-18,Anthony
['Drama'],565748,ja,"['A', 'high-school', 'girl', 'who', 'lives', 'in', 'a', 'rural', 'town', 'in', 'Japan', 'struggles', 'to', 'define', 'her', 'own', 'way', 'in', 'life.', 'To', 'help', 'her', 'impoverished', 'family', 'she', 'works', 'as', 'a', 'video', 'fetish', 'performer', 'which', 'leads', 'to', 'problems', 'for', 'her', 'and', 'her', 'family', 'with', 'a', 'criminal', 'underworld.']",2019-01-23,Demolition Girl
['Documentary'],459954,en,"['Documentary', 'about', 'the', 'life', 'of', 'Giovanni', '""Gianni""', 'Agnelli,', 'an', 'influential', 'Italian', 'industrialist', 'and', 'principal', 'shareholder', 'of', 'Fiat.']",2017-12-18,Agnelli
"['Comedy', 'Western']",282647,en,"['A', 'young', 'man', 'arrives', 'at', 'the', 'town', 'of', 'Fair', 'Play', 'to', 'see', 'his', 'uncle.', 'What', 'he', 'finds', 'upon', 'arriving', 'is', 'a', 'town', 'hiding', 'a', 'secret', 'from', 'any', 'outsiders.', 'The', 'young', 'man', 'must', 'uncover', 'the', 'truth', 'the', 'townspeople', 'wish', 'to', 'keep', 'hidden', 'in', 'order', 'to', 'save', 'his', 'uncle.']",1972-01-01,Fair Play
"['Romance', 'Family', 'Drama']",325090,ml,"['Bheekara', 'Nimishangal', 'is', 'a', '1970', 'Indian', 'Malayalam', 'film,', 'directed', 'by', 'M.', 'Krishnan', 'Nair', 'and', 'produced', 'by', 'P', 'Arunachalam.', 'The', 'film', 'stars', 'Sathyan,', 'Madhu,', 'Sheela', 'and', 'Adoor', 'Bhasi', 'in', 'lead', 'roles.', 'The', 'film', 'had', 'musical', 'score', 'by', 'MS', 'Baburaj']",1970-05-27,Bheekara Nimishangal
"['Horror', 'TV Movie', 'Comedy']",935051,pl,"['Tom', 'arrives', 'in', 'a', 'strange', 'city,', 'where', 'he', 'meets', 'casino', 'owners', 'who', 'are', 'hiding', 'a', 'secret.']",1968-05-26,Przeraźliwe łoże
"['Animation', 'Science Fiction', 'Action', 'Thriller']",14572,ja,"['A', 'Japanese', 'police', 'unit', 'who', 'use', 'giant', 'anthropomorphic', 'robots', '(called', 'Labors)', 'is', 'caught', 'up', 'in', 'a', 'political', 'struggle', 'between', 'the', 'civilian', 'authorities', 'and', 'the', 'military', 'when', 'a', 'terrorist', 'act', 'is', 'blamed', 'on', 'an', 'Air', 'Force', 'jet.', 'With', 'the', 'aid', 'of', 'a', 'government', 'agent,', 'the', 'team', 'gets', 'close', 'to', 'a', 'terrorist', 'leader', 'to', 'stop', 'things', 'from', 'going', 'out', 'of', 'control', 'when', 'after', 'the', 'military', 'is', 'impelled', 'to', 'impose', 'martial', 'law.']",1993-08-07,Patlabor 2: The Movie
"['TV Movie', 'Comedy', 'Drama']",1064957,sv,"['Swedish', 'TV', 'movie', 'based', 'on', 'the', 'Hjalmar', 'Bergman', 'play.']",1980-11-16,Swedenhielms
['Crime'],297110,de,"['One', 'evening,', 'Lee', 'Warren', 'visits', 'Richard', 'Fenton,', 'the', 'lawyer', 'with', 'whom', 'his', 'wife', 'is', 'cheating', 'on', 'him.', 'Warren', 'tells', 'Fenton', 'that', 'he', 'intends', 'to', 'kill', 'him,', 'but', 'gives', 'him', 'a', 'chance:', 'he', 'agrees', 'to', 'let', 'him', 'live', 'if', 'he', 'discovers', 'even', 'the', 'slightest', 'flaw', 'in', ""Warren's"", 'perfect', 'murder', 'plan', '...']",1972-08-01,Geliebter Mörder
"['Action', 'Adventure', 'Fantasy']",232840,en,"['A', 'catastrophic', 'volcanic', 'eruption', 'releases', 'ancient', 'dragon-like', 'creatures', 'on', 'the', 'surrounding', 'areas.', 'Scientists', 'believe', 'this', 'could', 'start', 'a', 'chain', 'reaction', 'of', 'volcanic', 'eruptions', 'giving', 'way', 'to', 'a', 'global', 'Dragon', 'Apocalypse.']",2013-06-04,Dracano
['Documentary'],688468,en,"['Venture', 'into', 'deep', 'space', 'for', 'a', 'fascinating', 'look', 'at', 'asteroids,', 'their', 'cosmic', 'origins', 'and', 'the', 'potential', 'threat', 'they', 'pose', 'to', 'our', 'world.', 'Written', 'and', 'produced', 'by', 'Phil', 'Groves,', 'produced', 'by', 'Jini', 'Durr', 'and', 'directed', 'by', 'W.D.', 'Hogan,', 'Asteroid', 'Hunters', 'introduces', 'asteroid', 'scientists', '–', 'the', 'best', 'line', 'of', 'defense', 'between', 'Earth', 'and', 'an', 'asteroid’s', 'destructive', 'path', '–', 'and', 'reveals', 'the', 'cutting-edge', 'tools', 'and', 'techniques', 'they', 'use', 'to', 'detect', 'and', 'track', 'asteroids,', 'and', 'the', 'technology', 'that', 'may', 'one', 'day', 'protect', 'our', 'planet.', 'The', 'effects', 'of', 'an', 'asteroid', 'impact', 'could', 'be', 'catastrophic', 'and', 'while', 'the', 'current', 'probability', 'of', 'an', 'event', 'in', 'our', 'lifetime', 'is', 'low,', 'the', 'potential', 'consequences', 'make', 'the', 'study', 'of', 'asteroids', 'an', 'incredibly', 'important', 'area', 'of', 'scientific', 'research.', 'Witness', 'the', 'latest', 'in', 'planetary', 'defense', 'and', 'how', 'science,', 'ingenuity', 'and', 'determination', 'combine', 'to', 'explore', 'the', 'world’s', 'most', 'preventable', 'natural', 'disaster.']",2020-04-17,Asteroid Hunters
"['Crime', 'Drama', 'War']",124963,en,"['The', 'vows', 'of', 'an', 'ambitious', 'young', 'American', 'priest', 'are', 'tested', 'during', 'World', 'War', 'II.', 'Not', 'only', 'does', 'Father', 'John', 'Flaherty', 'get', 'involved', 'with', 'the', 'black', 'market', 'to', 'raise', 'money', 'for', 'the', 'Vatican,', 'he', 'also', 'falls', 'in', 'love', 'with', 'a', 'young', 'French', 'nun.']",1982-10-22,Monsignor
"['Drama', 'Adventure', 'Thriller']",294244,en,"['Prepare', 'to', 'get', 'tangled', 'in', 'the', 'jungles', 'of', 'Belize', 'when', 'an', 'arms', 'smuggler', 'loses', 'her', 'partner', 'in', 'a', 'deadly', 'shootout', 'and', 'finds', 'herself', 'on', 'the', 'run', 'in', 'the', 'tropics', 'of', 'Central', 'America.', 'Helen', 'is', 'an', 'amateur,', 'making', 'her', 'money', 'as', 'an', 'illegal', 'arms', 'trader', 'to', 'Central', 'American', 'terrorists.', 'And', 'as', 'she', 'runs', 'for', 'her', 'life', 'after', 'the', 'deal', 'goes', 'bad,', 'she', 'has', 'no', 'choice', 'but', 'to', 'trusts', 'Jeff,', 'a', 'British', 'Intelligence', 'Agent', '-', ""it's"", 'a', 'life', 'and', 'death', 'chase,', 'where', 'passion', 'and', 'loyalty', 'are', 'easily', 'confused...']",1987-12-24,Caribe
"['Thriller', 'Science Fiction']",451518,en,"['In', 'the', 'near', 'future,', 'a', 'young', 'animator', 'is', 'offered', 'what', 'should', 'be', 'her', 'dream', 'job,', 'but,', 'when', 'she', 'discovers', 'the', 'truth', 'of', 'the', 'modern', ""'creative'"", 'process,', 'she', 'must', 'make', 'a', 'hard', 'choice', 'about', 'her', 'passion', 'for', 'film.']",2017-03-02,Real Artists
"['Drama', 'Romance']",91652,en,"['Set', 'in', 'the', '1890s', 'in', 'the', 'central', 'desert', 'region', 'of', 'Australia,', ""'Serenades'"", 'tells', 'the', 'tale', 'of', 'Jila', 'who', 'is', 'conceived', 'when', 'her', 'Afghan', 'cameleer', 'father', 'wins', 'her', 'Aboriginal', 'mother', 'in', 'a', 'card', 'game.']",2001-05-31,Serenades
"['Horror', 'Fantasy', 'Comedy']",1153714,en,"['A', 'father', 'and', 'daughter', 'accidentally', 'hit', 'and', 'kill', 'a', 'unicorn', 'while', 'en', 'route', 'to', 'a', 'weekend', 'retreat,', 'where', 'his', 'billionaire', 'boss', 'seeks', 'to', 'exploit', 'the', 'creature’s', 'miraculous', 'curative', 'properties.']",2025-03-27,Death of a Unicorn
"['Action', 'Thriller', 'Crime']",83078,en,"['Returning', 'to', 'the', 'small', 'Florida', 'town', 'where', 'he', 'grew', 'up,', 'Billy', 'Turner', 'learns', 'that', 'his', 'father', 'has', 'been', 'killed.', 'With', 'little', 'help', 'from', 'the', 'police,', 'Billy', 'will', 'take', 'matters', 'into', 'his', 'own', 'hands', 'and', 'go', 'up', 'against', 'a', 'ruthless', 'local', 'mob', 'boss', 'in', 'a', 'desperate', 'search', 'to', 'find', 'the', 'killer.']",1986-05-02,Blue City
"['Western', 'Adventure', 'Drama']",74773,en,"['Set', 'in', 'the', 'diamond', 'fields', 'of', 'South', 'Africa,', 'Stafford', 'Parker', 'is', 'a', 'lawman', 'trying', 'to', 'maintain', 'a', 'semblance', 'of', 'law', 'and', 'order', 'in', 'the', '""Wild', 'South"".']",1949-09-20,Diamond City
"['Adventure', 'Fantasy', 'Animation', 'Action', 'Family']",10515,ja,"['A', 'young', 'boy', 'and', 'a', 'girl', 'with', 'a', 'magic', 'crystal', 'must', 'race', 'against', 'pirates', 'and', 'foreign', 'agents', 'in', 'a', 'search', 'for', 'a', 'legendary', 'floating', 'castle.']",1986-08-02,Castle in the Sky
"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",13572,en,"['Recently', 'promoted', 'and', 'transferred', 'to', 'the', 'homicide', 'division,', 'Inspector', 'Jessica', 'Shepard', 'feels', 'pressure', 'to', 'prove', 'herself', '--', 'and', 'what', 'better', 'way', 'than', 'by', 'solving', 'San', ""Francisco's"", 'latest', 'murder?', 'However,', 'as', 'Shepard', 'and', 'her', 'partner,', 'Mike', 'Delmarco,', 'soon', 'discover,', 'the', 'victim', 'shared', 'a', 'romantic', 'connection', 'to', 'her.', 'As', 'more', 'of', ""Shepard's"", 'ex-lovers', 'turn', 'up', 'dead,', 'her', 'mind', 'starts', 'to', 'become', 'unstable,', 'and', 'she', 'begins', 'to', 'wonder', 'if', 'she', 'could', 'be', 'the', 'very', 'killer', ""she's"", 'trying', 'to', 'track', 'down.']",2004-02-27,Twisted
['Comedy'],47836,en,"['Gretchen', 'has', 'bigger', 'problems', 'than', 'abysmal', 'fashion', 'sense:', ""She's"", '17,', 'painfully', 'awkward', 'and', 'stuck', 'in', 'the', 'most', 'unforgiving', 'place', 'on', 'earth', '-', 'high', 'school.', 'When', 'her', 'obsession', 'with', 'school', 'bad', 'boy', 'Ricky', 'gets', 'out', 'of', 'hand,', 'her', 'mother', 'sends', 'her', 'to', 'an', 'emotional', 'treatment', 'center', 'to', 'recover.', 'She', 'has', 'to', 'travel', 'elsewhere,', 'however,', 'to', 'truly', 'begin', 'to', 'understand', 'why', 'she', 'fixates', 'on', 'the', 'wrong', 'kind', 'of', 'guy.']",2006-08-05,Gretchen
"['Romance', 'Drama']",537915,en,"['Tessa', 'Young', 'is', 'a', 'dedicated', 'student,', 'dutiful', 'daughter', 'and', 'loyal', 'girlfriend', 'to', 'her', 'high', 'school', 'sweetheart.', 'Entering', 'her', 'first', 'semester', 'of', 'college,', ""Tessa's"", 'guarded', 'world', 'opens', 'up', 'when', 'she', 'meets', 'Hardin', 'Scott,', 'a', 'mysterious', 'and', 'brooding', 'rebel', 'who', 'makes', 'her', 'question', 'all', 'she', 'thought', 'she', 'knew', 'about', 'herself', '--', 'and', 'what', 'she', 'wants', 'out', 'of', 'life.']",2019-04-11,After
"['Drama', 'Crime']",46063,en,"['Upon', 'taking', 'a', 'new', 'job,', 'young', 'lawyer', 'Rick', 'Hayes', 'is', 'assigned', 'to', 'the', 'clemency', 'case', 'of', 'Cindy', 'Liggett,', 'a', 'woman', 'convicted', 'of', 'first', 'degree', 'murder', 'and', 'sentenced', 'to', 'death.', 'As', 'Hayes', 'investigates', 'the', 'background', 'for', 'her', 'case,', 'the', 'two', 'begin', 'to', 'form', 'a', 'deep', 'friendship,', 'while', 'all', 'the', 'while', 'the', 'date', 'for', 'her', 'execution', 'draws', 'nearer.']",1996-05-02,Last Dance
"['Drama', 'Family']",1356604,fi,"['Country', 'boy', 'Oskari', 'travels', 'with', 'his', 'mother', 'to', 'the', 'city.', 'There', 'he', 'meets', 'his', 'superhero.', 'However,', 'all', 'is', 'not', 'quite', 'as', 'seven-year-old', 'Oskari', 'imagined.', 'He', 'is', 'faced', 'with', 'a', 'difficult', 'choice.', 'Superhero', 'is', 'dark-skinned', 'and', 'doesn´t', 'look', 'like', 'the', 'action', 'figure', 'he', 'owns.']",2010-03-11,My Superhero
['Horror'],377998,en,"['In', 'this', 'crossover', 'of', '""Hellraiser""', 'and', '""The', 'Prophecy"",', 'Lucifer', 'blackmails', 'a', 'young', 'woman', 'into', 'solving', 'the', 'Lament', 'Configuration,', 'in', 'hope', 'of', 'bringing', 'the', 'Cenobites', 'into', 'the', 'Second', 'Angelic', 'War.']",2006-04-22,Hellraiser: Prophecy
"['Action', 'Thriller', 'Crime']",1100094,en,"['A', 'former', 'police', 'officer', 'puts', 'aside', 'his', 'differences', 'with', 'the', 'force', 'in', 'order', 'to', 'track', 'down', 'his', ""brother's"", 'murderer.', 'He', 'teams', 'with', 'a', 'younger', 'detective', 'to', 'bring', 'the', 'case', 'home.']",2023-09-01,Escalation
['Documentary'],1400776,en,"['On', 'the', 'precipice', 'of', 'adulthood,', 'teenagers', 'converge', 'at', 'a', 'traditional', 'folk', 'high', 'school', 'in', 'Arctic', 'Norway.', 'Dropped', 'at', 'the', 'edge', 'of', 'the', 'world,', 'they', 'must', 'rely', 'on', 'only', 'themselves,', 'one', 'another,', 'and', 'a', 'loyal', 'pack', 'of', 'sled', 'dogs', 'as', 'they', 'all', 'grow', 'in', 'unexpected', 'directions.']",2025-07-25,Folktales
"['Animation', 'Family', 'TV Movie']",722791,en,"['In', 'a', 'Parisian', 'girls', 'school,', 'our', 'perky,', 'popular', 'heroine', 'charms', 'her', 'eleven', 'classmates', 'with', 'funny', 'pranks', 'and', 'youthful', 'wit.', 'But', 'when', 'Madeline', 'needs', 'her', 'appendix', 'out,', ""it's"", 'she', 'who', 'needs', 'charm', 'and', 'humor', 'for', 'a', 'speedy', 'recovery.']",1988-11-07,Madeline
"['Music', 'Documentary']",797879,fr,"['Diesel', 'is', 'a', 'road-movie', 'documentary', 'on', 'Punk', 'Rock', 'music']",2018-03-01,DIESEL
"['Comedy', 'Family', 'TV Movie']",409438,en,"['The', 'story', 'of', 'two', 'babies', 'who', 'are', 'able', 'to', 'telepathically', 'communicate', 'and', 'try', 'to', 'marry', 'their', 'parents', 'by', 'help', 'of', 'mortal', 'combat', 'with', 'the', 'robbers.']",2001-09-03,"Oh, Baby"
"['Action', 'Drama']",519211,tl,"['A', 'disgraced', 'cop', '(Zanjoe', 'Marudo)', 'tries', 'to', 'make', 'amends', 'with', 'his', 'wife', 'by', 'getting', 'her', 'pawned', 'wedding', 'ring', 'back.', 'But', 'a', 'robbery', 'ensues', 'in', 'the', 'pawnshop,', 'and', 'the', 'robbers', 'take', 'the', 'ring', 'along', 'with', 'their', 'loot.', 'With', 'his', 'duty', 'and', 'love', 'on', 'the', 'line,', 'he', 'goes', 'after', 'the', 'robbers,', 'not', 'knowing', 'that', 'this', 'will', 'lead', 'him', 'to', 'dark', 'past.']",2012-04-19,Rematado
['Drama'],697624,sv,"['A', 'stateless', 'lawyer', 'comes', 'with', 'his', 'son', 'Karel', 'and', 'his', 'two', 'daughters', 'Vanja', 'and', 'Sonja', 'as', 'refugees', 'to', 'Stockholm.', 'No', 'one', 'gets', 'work', 'permit', 'in', 'Sweden', 'and', 'the', ""family's"", 'problems', 'grows', 'to', 'not', 'just', 'financially.', 'The', 'idleness', 'and', 'hopelessness', 'towards', 'the', 'future', 'is', 'almost', 'worse', 'and', 'that', 'can', 'lead', 'into', 'dangerous', 'paths.']",1942-01-26,Farliga vägar
['Horror'],14147,en,"['Friends', 'become', 'increasingly', 'addicted', 'to', 'a', 'video', 'game', 'that', 'has', 'an', 'evil', 'agenda.']",2005-10-01,DeVour
"['Drama', 'Romance']",152018,fr,"['Toine,', 'the', 'local', 'hunchback,', 'works', 'at', 'the', 'tile', 'manufacturing', 'plant,', 'but', 'during', 'the', 'summer,', 'he', 'gives', 'a', 'hand', 'to', 'Micoulin,', 'the', 'farmer,', 'thereby', 'being', 'able', 'to', 'spend', 'more', 'time', 'close', 'to', 'Nais,', ""Micoulin's"", 'daughter.', 'That', 'summer,', 'the', 'estate', ""owner's"", 'son,', 'Frederic', 'Rostaing,', 'decides', 'to', 'rest', 'on', 'the', 'farm', 'during', 'his', 'vacation', 'from', 'Law', 'school.', 'But', 'his', 'real', 'motives', 'are', 'to', 'seduce', 'young', 'Nais,', 'whom', 'he', 'knows', 'from', 'their', 'childhood', 'days,', 'after', 'having', 'seen', 'her', 'in', 'town.', 'Who', 'will', 'win', 'the', 'power', 'struggle', 'between', 'the', 'possessive', 'father,', 'the', 'naive', 'daughter,', 'the', 'vile', 'student', 'and', 'the', 'golden-hearted', 'cripple?']",1945-11-17,Naïs
['Drama'],441254,de,"['For', 'five', 'years', 'Rogelio,', 'a', 'Chilean', 'exile,', 'has', 'been', 'in', 'the', 'GDR,', 'where', 'he', 'works', 'as', 'a', 'lighting', 'technician', 'at', 'a', 'theater.', 'Though', 'his', 'colleagues', 'try', 'to', 'make', 'him', 'feel', 'welcome,', 'he', 'feels', 'lonely', 'and', 'isolated.']",1986-04-10,Blond Tango
"['Adventure', 'Drama']",11513,de,"['A', 'fearsome', '19th', 'century', 'bandit,', 'Cobra', 'Verde', 'cuts', 'a', 'swath', 'through', 'Brazil', 'until', 'he', 'arrives', 'at', 'the', 'sugar', 'plantation', 'of', 'Don', 'Octávio', 'Countinho.', 'Not', 'knowing', 'that', 'his', 'new', 'guest', 'is', 'the', 'notorious', 'bandit', 'and', 'impressed', 'by', 'his', 'ruthless', 'ways,', 'Don', 'Octávio', 'hires', 'Cobra', 'Verde', 'to', 'oversee', 'his', 'slaves.', 'But', 'when', 'Cobra', 'Verde', 'impregnates', 'Don', 'Octávio’s', 'three', 'daughters,', 'the', 'incensed', 'plantation', 'owner', 'exiles', 'the', 'outlaw', 'to', 'Africa', 'where', 'he', 'is', 'expected', 'to', 'reopen', 'the', 'slave', 'trade.', 'Following', 'his', 'trans-Atlantic', 'journey,', 'Cobra', 'Verde', 'exploits', 'tribal', 'conflicts', 'to', 'commandeer', 'an', 'abandoned', 'fortress', 'and', 'whips', 'an', 'army', 'of', 'naked', 'warriors', 'into', 'a', 'frenzied', 'bloodlust', 'as', 'he', 'vies', 'for', 'survival.']",1987-12-03,Cobra Verde
['Drama'],1165655,es,"['A', 'prejudiced', 'Franco-Peruvian', 'woman', 'opens', 'a', 'restaurant', 'after', 'her', 'husband', 'leaves', 'her', 'for', 'another', 'woman.', 'Through', 'it,', 'she', 'falls', 'in', 'love', 'with', 'the', 'gastronomic', 'and', 'cultural', 'diversity', 'of', 'Peru', 'during', 'the', 'prosperous', 'but', 'troubled', 'Lima', 'of', '1965.']",2025-08-21,Mistura
"['Science Fiction', 'Comedy']",1006851,en,"['Three', 'friends', 'come', 'together', 'to', 'defend', 'their', 'valuable', 'mining', 'company', 'from…aliens?!', 'What', 'could', 'possibly', 'go', 'wrong?']",2022-08-10,Office Invasion
"['Documentary', 'History']",1161139,pl,"['The', 'tragic', 'life', 'of', 'five', 'Warsaw', 'poets', 'who', 'died', 'during', 'the', 'World', 'War', 'II:', 'Krzysztof', 'Kamil', 'Baczyński,', 'Tadeusz', 'Gajcy,', 'Zdzisław', 'Stroiński,', 'Andrzej', 'Trzebiński', 'and', 'Wacław', 'Bojarski.']",2004-09-17,To the Offspring
"['Drama', 'Romance']",257862,fr,"['""Olivia""', 'captures', 'the', 'awakening', 'passions', 'of', 'an', 'English', 'adolescent', 'sent', 'away', 'for', 'a', 'year', 'to', 'a', 'small', 'finishing', 'school', 'outside', 'Paris.', 'The', 'innocent', 'but', 'watchful', 'Olivia', 'develops', 'an', 'infatuation', 'for', 'her', 'headmistress', 'Julie', 'and', 'through', 'this', 'screen', 'of', 'love', 'observes', 'the', 'tense', 'romance', 'between', 'Julie', 'and', 'the', 'other', 'head', 'of', 'the', 'school', 'Cara', 'in', 'its', 'final', 'months.']",1951-04-27,Olivia
[],440747,en,"['Set', 'entirely', 'inside', 'a', 'lift,', 'which', 'represents', 'the', 'inside', 'of', 'Wil', ""Schindel's"", 'head,', 'this', 'comically', 'philosophical', 'journey', ""follow's"", 'Wil', 'as', 'he', 'contemplates', 'a', 'promotion', ""he's"", 'just', 'been', 'offered.']",2006-10-19,Wil
['Horror'],56144,en,"['People', 'full', 'of', 'problems...a', 'lake', 'full', 'of', 'piranha!']",2005-04-26,Razorteeth
"['Animation', 'Adventure', 'Comedy']",346965,en,"['Princess', 'Froglegs', 'goes', 'undercover', 'to', 'compete', 'in', 'her', ""father's"", 'Froglympics', 'in', 'order', 'to', 'avoid', 'being', 'married', 'off', 'to', 'a', 'male', 'suitor.']",2013-12-28,Frog Kingdom
['Drama'],275010,da,"['A', 'gorgeous', 'Danish', 'international', 'stewardess', 'flirts', 'brashly', 'with', 'her', 'male', 'passengers', 'then', 'beds', 'them', 'one', 'after', 'another', 'in', 'her', 'Copenhagen', 'home.']",1971-08-20,Swedish Fly Girls
['Drama'],63328,fr,"['Swaying', 'between', 'pleasure', 'and', 'despair,', 'Elric', 'throws', 'himself', 'into', 'his', 'pathological', 'passion', 'for', 'the', 'casino.', 'Meeting', 'Suzie', 'could', 'have', 'saved', 'him,', 'but', 'the', 'young', 'woman', 'also', 'sinks', 'into', 'gambling', 'hell.', 'The', 'couple', 'then', 'start', 'getting', 'involved', 'in', 'the', 'fearsome', 'world', 'of', 'professional', 'cheaters.']",1984-02-08,Cheaters
['Comedy'],1051704,en,"['A', 'political', 'satire', 'about', 'climate', 'change.', 'Focused', 'on', 'the', 'protest', 'group', 'Extinction', 'Rebellion.']",2019-09-01,Extinction
"['Horror', 'Action', 'Science Fiction', 'Adventure', 'Thriller']",92766,en,"['When', 'high', 'class', 'hooker', 'Nicole', 'is', 'kidnapped', 'from', 'her', 'brothel,', 'Rich', 'businessman', 'Hugo', 'Motherskille', 'hires', 'her', 'ex', 'love', 'Roy', 'Bain', 'to', 'find', 'her.', 'Investigating', 'the', 'disappearance,', 'he', 'eventually', 'finds', 'traces', 'that', 'lead', 'to', 'Dr.', 'Savary,', 'who', 'has', 'produced', 'a', 'strange', 'white', 'powder', ""that's"", 'coveted', 'by', 'a', 'race', 'of', 'deformed', 'human', 'beings', 'who', 'live', 'in', 'the', 'underworld', 'in', 'the', 'sewers', 'below', 'the', 'city.']",1985-11-29,Transmutations
['Comedy'],81522,it,"['A', 'young', 'American', 'woman', 'traveling', 'through', 'Italy', 'finds', 'herself', 'in', 'a', 'strange', 'Mediterranean', 'villa', 'where', 'nothing', 'seems', 'quite', 'right.']",1972-12-07,What?
"['TV Movie', 'Drama']",751117,sl,"['A', 'world', 'between', 'the', 'dreams', 'and', 'reality,', 'between', 'commonsense', 'pragmatism', 'and', 'madness,', 'between', 'earthly', 'gendarmes,', 'priests,', 'fair', 'organizers', 'on', 'one', 'hand,', 'and', 'children', 'of', 'God,', 'to', 'whom', 'all', 'our', 'smartness', 'is', 'crazy,', 'on', 'the', 'other.']",1994-10-07,Tantadruj
['Comedy'],452433,cs,"['""I\'m', 'feeling', 'like', 'a', 'dog,', 'doctor"".', 'Mr.', 'Ota', 'Posta', 'is', 'not', 'feeling', 'very', 'well', 'lately,', 'deprived', 'and', 'humiliated', 'like', 'a', 'dog', 'he', 'turns', 'into', 'one.']",2005-11-13,Psí kus
['Drama'],1301844,es,"['In', 'the', 'conservative', 'northwestern', 'region', 'of', 'Argentina,', 'Julieta', 'finds', 'herself', 'accused', 'of', 'infanticide', 'after', 'a', 'medical', 'emergency.', 'Facing', 'a', 'miscarriage', 'of', 'justice', 'that', 'lands', 'her', 'in', 'prison', 'for', 'a', 'crime', 'she', 'didn’t', 'commit,', 'her', 'only', 'hope', 'is', 'getting', 'the', 'chance', 'to', 'challenge', 'her', 'conviction', 'in', 'a', 'courtroom', 'battle', 'with', 'the', 'help', 'of', 'Soledad,', 'a', 'fearless', 'lawyer', 'who', 'risks', 'everything', 'to', 'defend', 'her.', 'Their', 'fight', 'for', 'justice', 'will', 'slowly', 'begin', 'to', 'fuel', 'a', 'growing', 'movement', 'for', 'solidarity', 'and', 'women’s', 'rights.']",2025-09-18,Belén
[],392056,en,"['A', 'penniless', 'young', 'charmer', 'hits', 'upon', 'an', 'ingenious', 'route', 'to', 'fame', 'and', 'fortune.']",1936-10-20,Radio Lover
"['Drama', 'Fantasy', 'Mystery']",1234603,hi,"['In', 'the', 'late', '1980s', 'in', 'the', 'Himalayas,', 'a', ""man's"", 'life', 'is', 'turned', 'upside', 'down', 'by', 'a', 'series', 'of', 'mysterious', 'fires', 'destroying', 'his', 'fruit', 'orchards.', 'As', 'he', 'struggles', 'to', 'stop', 'the', 'outbreaks,', 'the', 'escalating', 'mystery', 'forces', 'him', 'to', 'confront', 'not', 'only', 'the', 'truth', 'behind', 'the', 'blazes', 'but', 'also', 'the', 'long-hidden', 'secrets', 'of', 'his', 'family', 'and', 'his', 'own', 'past.']",2025-09-12,The Fable
"['Comedy', 'Romance']",41034,en,"['A', 'man', 'resists', 'the', 'California', 'fads', 'that', 'his', 'wife,', 'friends', 'and', 'wealthy', 'Marin', 'County', 'neighbors', 'embrace.']",1980-03-28,Serial
['Family'],379731,en,"['Visiting', 'the', 'charming', 'lake', 'town', 'of', 'Culver,', 'a', 'boy', 'genius', 'and', 'his', 'sister', 'race', 'against', 'bullies', 'to', 'find', 'a', 'treasure', 'hidden', 'by', 'an', 'eccentric', 'philanthropist.']",2016-02-02,Little Savages
